molecule_chembl_id,canonical_smiles,standard_value,units
CHEMBL329367,CN(C)c1ccc(/C=C2\C(=O)Nc3cc(F)ccc32)cc1,100000.0,uM
CHEMBL313259,O=C1Nc2ccccc2/C1=C/c1ccc(C(=O)O)cc1,100000.0,uM
CHEMBL431025,O=C1Nc2ccc(Cl)cc2/C1=C/c1ccc[nH]1,100000.0,uM
CHEMBL316020,Cc1c[nH]c(/C=C2\C(=O)Nc3ccccc32)c1C,100000.0,uM
CHEMBL87324,Cc1cc(C)c(/C=C2\C(=O)Nc3cc(F)ccc32)[nH]1,100000.0,uM
CHEMBL89697,Cc1ccc(/C=C2/C(=O)Nc3ccccc32)o1,100000.0,uM
CHEMBL103667,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1,20000.0,uM
CHEMBL93783,CN(C/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1)CCO,414.0,uM
CHEMBL92902,CN1CCC=C(C(=O)Nc2ccc3ncnc(Nc4cccc(Br)c4)c3c2)C1,5042.0,uM
CHEMBL327838,COCCOCC#CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,116.0,uM
CHEMBL328704,CCN(CC)CC#CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,38.0,uM
CHEMBL94066,C=C(CN1CCOCC1)C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,458.0,uM
CHEMBL94061,CN(C)C/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,301.0,uM
CHEMBL329642,C/C=C\C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,21657.0,uM
CHEMBL92356,CCN1CCN(CC#CC(=O)Nc2ccc3ncnc(Nc4cccc(Br)c4)c3c2)CC1,183.0,uM
CHEMBL94062,O=C(C#CCO)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,16.0,uM
CHEMBL93784,COCC1CCCN1CC#CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,117.0,uM
CHEMBL93537,O=C(/C=C/CN1CCSCC1)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,2808.0,uM
CHEMBL94123,O=C(/C=C/N1CCOCC1)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,4182.0,uM
CHEMBL92882,COC/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,8832.0,uM
CHEMBL93386,O=C(C#CCN1CCOCC1)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,53.0,uM
CHEMBL92731,CCCN(C/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1)CCC,1428.0,uM
CHEMBL93049,COCOCC#CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,122.0,uM
CHEMBL93464,C/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,91325.0,uM
CHEMBL92961,CC(C)N(CC#CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1)C(C)C,162.0,uM
CHEMBL93754,O=C(/C=C/Cn1cccn1)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,15624.0,uM
CHEMBL328245,CCCN(CC#CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1)CCC,177.0,uM
CHEMBL91925,CCN(CC)C/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,1164.0,uM
CHEMBL316127,O=C(/C=C/CN1CCOCC1)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,2776.0,uM
CHEMBL91748,CN(C)/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,25710.0,uM
CHEMBL91009,COCC#CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,33.0,uM
